countyfips,year,DS_O3_pred,DS_O3_stdd
19,2020,45.232769860352155,4.266923653916211
21,2016,39.503959244080146,4.363665072859745
21,2017,40.382542922374429,4.450541872146119
21,2018,39.815917351598174,4.488783881278539
21,2019,39.483304566210046,4.342354931506849
21,2020,38.392919398907104,4.325368101092896
23,2016,29.843190127504554,4.041830045537341
23,2017,31.48780803652968,4.193176812785388
23,2018,30.012902100456621,4.10215394520548
23,2019,29.149005114155251,4.154658073059361
23,2020,28.047252732240437,4.129042964480874
25,2016,44.403015538515776,4.49099035783536
25,2017,43.677478833406982,4.454547618205921
25,2018,41.9832706142289,4.371310799823244
25,2019,40.364881749889527,4.220017843570482
25,2020,41.360382855191257,4.365577165300546
27,2016,42.156367714025501,4.775627504553734
27,2017,40.619035616438356,4.658103744292237
27,2018,44.046751598173516,4.874210821917808
27,2019,43.884571689497717,4.795192283105023
27,2020,41.956271857923497,4.755210792349727
29,2016,49.857839315311403,4.582298907103825
29,2017,51.765560156037376,4.72906869817654
29,2018,51.052650040823732,4.694806377574163
29,2019,48.283264973237776,4.510238185611902
29,2020,48.278765652496064,4.589407915393165
31,2016,47.245084669095325,4.535665037441813
31,2017,48.695626788432268,4.666817087772704
31,2018,47.271167935058346,4.595871943176053
31,2019,45.166872247590056,4.428984129883308
31,2020,44.770548563370351,4.478986929314296
33,2016,36.185797632058288,4.26134087431694
33,2017,38.038615890410959,4.392187525114155
33,2018,38.056764200913242,4.424146630136986
33,2019,36.699447671232877,4.28930900456621
33,2020,35.33327712724434,4.287259263596149
35,2016,41.837192471159684,5.695114602307225
35,2017,44.292201522070015,5.847325570776256
35,2018,44.48815494672755,5.839574550989346
35,2019,41.896184779299848,5.5387500152207
35,2020,42.257000607164542,5.597747753491196
37,2016,43.515480410547404,4.117724332799246
37,2017,45.077814588485667,4.235263157057747
37,2018,43.422456596448763,4.175714879413467
37,2019,43.462464241488783,4.117112110337408
37,2020,45.366335841350676,4.281268032458754
39,2016,46.917400118793062,4.568364076977904
39,2017,47.610858368076236,4.653100595592615
39,2018,46.217945205479452,4.588121357951161
39,2019,45.103374627754616,4.485817617629541
39,2020,45.161390630022501,4.488274831243973
41,2016,29.667669468455042,3.55158521609538
41,2017,30.304832528019925,3.620377892901619
41,2018,30.087744806973848,3.615470301369863
41,2019,31.43024,3.658210794520548
41,2020,30.606956414259693,3.669583658600052
43,2016,46.972737249544627,4.880901775956284
43,2017,47.29725296803653,4.910981369863014
43,2018,47.126951141552511,4.903583698630137
43,2019,46.19341095890411,4.800959908675799
43,2020,46.204964480874317,4.836617850637523
45,2016,32.146458101092896,4.391520245901639
45,2017,33.92281698630137,4.514185342465753
45,2018,31.879155342465753,4.389546465753425
45,2019,31.283925342465753,4.280800698630137
45,2020,29.931466985428051,4.257825512295082
47,2016,44.594751209992194,4.543482480205197
47,2017,45.250776963936259,4.61690093374336
47,2018,43.788428795079676,4.552832563600783
47,2019,43.337984679899357,4.464876024601622
47,2020,43.209462616011796,4.530260109289618
49,2016,38.366183879781421,6.01254924863388
49,2017,41.787806849315068,6.281207534246575
49,2018,42.429,6.262245479452055
49,2019,39.816139726027397,5.909647534246575
49,2020,39.24020218579235,5.888755396174863
51,2016,43.719739435336976,5.453357285974499
51,2017,43.404073059360731,5.430114703196347
51,2018,46.619680365296804,5.63415105022831
51,2019,45.372735159817352,5.430759086757991
51,2020,44.096749316939891,5.378877459016393
53,2016,33.541388803689994,3.917578121511252
53,2017,35.278431668876123,4.064659596405951
53,2018,34.55122604212697,4.02143818529975
53,2019,34.741910620120784,3.961191733686846
53,2020,32.987262452711223,3.934483945460277
55,2016,33.181162288251366,3.75394656420765
55,2017,35.031355821917808,3.893566705479452
55,2018,35.107978082191781,3.93283398630137
55,2019,35.768248150684932,3.929871273972603
55,2020,35.234188729508197,3.965874241803279
57,2016,45.580530710382514,4.486146174863388
57,2017,47.50261205479452,4.624901232876712
57,2018,46.664838219178082,4.78936597260274
57,2019,44.57832602739726,4.503410575342466
57,2020,45.70479613282892,4.595232870954182
59,2016,42.998296043415394,4.172955093140293
59,2017,43.842389083462788,4.295180494280469
59,2018,41.576697952266629,4.253790926893565
59,2019,42.059774961163677,4.214644087464106
59,2020,43.92102369128353,4.379710104394724
61,2016,43.396583359048537,4.077922552234008
61,2017,43.854476261079774,4.149164551168413
61,2018,43.770777469782434,4.32202518614021
61,2019,42.654949266720387,4.144952273972603
61,2020,43.301369149441673,4.200545589807555
63,2016,43.45747868852459,5.343125253708041
63,2017,45.842668493150685,5.490399021526419
63,2018,45.951756947162427,5.51508457925636
63,2019,43.120836790606654,5.221400039138943
63,2020,43.698050351288056,5.295874395003903
65,2016,50.881645627812157,4.572803552515712
65,2017,53.054858380961021,4.707181157579606
65,2018,51.353516501859748,4.658686638846049
65,2019,50.717271783241102,4.543182370195652
65,2020,52.32049898200308,4.700509619807161
67,2016,39.834032730861388,3.860261523676544
67,2017,40.500108145715397,3.942083049133572
67,2018,40.416888120651657,3.976875189490515
67,2019,40.179066453480835,3.950961740633508
