,county,avg_population,fips,avg_asthma_prevalence,num_asthma_cases,avg_number_ed_visits,DS_PM_pred,DS_PM_stdd,DS_O3_pred,DS_O3_stdd,predicted_num_ed_visits,ed_visit_rate,predicted_ed_visit_rate,rate_difference
18,Los Angeles,10080608.0,6037,8.133333333333333,819889.4506666666,49208.4,11.51503966507746,4.389488991854781,44.18486567162149,4.186685383794083,73544.51180834424,0.0048814912751294365,0.007295642466044135,0.0024141511909146988
19,Madera,155897.0,6039,11.933333333333332,18603.708666666666,912.0,12.788373291636804,4.987636203227138,46.111031233305106,4.550721610528373,1757.7216279407687,0.005850016356953629,0.011274890651781425,0.0054248742948277955
20,Marin,259699.75,6041,7.966666666666666,20689.413416666663,554.2,8.862419458675408,3.351063489116455,30.424496392136383,3.62434998114357,1755.8609129187698,0.002134002824415503,0.00676111899575864,0.004627116171343136
21,Mariposa,17369.5,6043,9.933333333333334,1725.3703333333333,67.8,10.0871677869002,4.464930814632366,46.7588770297391,4.866600328407225,142.21356227125165,0.0039033938800771464,0.00818754496509696,0.004284151085019814
22,Mendocino,87252.75,6045,8.133333333333335,7096.557000000001,498.6,7.718001469582149,3.295963959056941,31.75868677770761,4.362534333228081,564.8933326018359,0.005714433069444803,0.006474218091714426,0.0007597850222696234
23,Merced,272638.75,6047,11.6,31626.095,2020.4,12.391904424862911,4.892851940050926,43.99137963379716,4.541047721533699,2964.6726206537555,0.007410538670676857,0.010873995793531753,0.003463457122854896
24,Modoc,8869.5,6049,9.466666666666669,839.646,68.4,6.975358784893268,3.760558067870826,40.32619748221127,6.070749425287356,61.419638223630486,0.007711821410451548,0.006924814050806752,0.0007870073596447967
25,Mono,14368.5,6051,9.933333333333334,1427.271,46.4,8.997423834445014,3.741778216179237,44.60767400376262,5.459982059175646,112.77798726526309,0.0032292862859727876,0.007848974302485512,0.004619688016512725
26,Monterey,434124.5,6053,7.466666666666668,32414.629333333334,1863.6,6.370775359641709,2.469681933688634,34.19048757366173,3.978762216204718,2380.2855591858015,0.004292777763061057,0.005482956062571455,0.0011901782995103975
27,Napa,139312.75,6055,13.95,19434.128625,511.2,9.121675779419814,3.512081843048714,34.8638675,3.895179902846196,1630.354911588104,0.0036694415981308242,0.011702840634386329,0.008033399036255506
28,Nevada,99385.75,6057,7.2,7155.774000000001,272.2,7.898096584572491,3.129581890231309,45.98875701672863,4.599490752788104,531.1839795365584,0.002738823221638917,0.005344669427322915,0.002605846205683998
29,Orange,3172735.0,6059,6.766666666666667,214688.40166666667,8948.2,11.653807839066218,4.584103514621972,42.891609894830445,4.264539021660872,19526.729437638438,0.0028203427011710717,0.006154541566704574,0.0033341988655335025
30,Placer,388679.25,6061,8.766666666666667,34074.214250000005,1095.6,9.371577342658227,3.624198159916887,43.39405099742172,4.179230237493428,2761.375861656441,0.0028187766648206714,0.007104510625808918,0.004285733960988247
31,Plumas,18718.25,6063,9.466666666666669,1771.994333333333,92.8,8.553505613417782,3.748792729689577,44.413242661662366,5.37311789819376,137.10413812038763,0.004957728420124745,0.007324623729268902,0.0023668953091441573
32,Riverside,2427845.0,6065,8.866666666666665,215268.9233333333,9595.0,10.18262933331454,4.040373696220788,51.6837896772572,4.638262153505728,17350.386165533313,0.003952064485171006,0.007146414275018921,0.0031943497898479153
33,Sacramento,1532273.0,6067,10.3,157824.11899999998,9571.6,11.019321674460356,4.239547771675937,40.21023506656935,3.953751382478041,14119.308124082037,0.006246667532482789,0.009214616536401828,0.002967949003919039
34,San Benito,60916.0,6069,8.1,4934.196,310.4,6.836478988906807,2.562873609050481,37.683054928407365,4.042365806577726,363.74015809357996,0.005095541401273885,0.005971176014406395,0.0008756346131325102
35,San Bernardino,2157435.75,6071,8.966666666666667,193450.07225000003,11309.0,10.78108098516906,4.180593259750728,53.64273819323201,4.643094365087753,15889.138794408818,0.005241871049925821,0.0073648259487722025,0.0021229548988463817
36,San Diego,3324879.25,6073,7.6,252690.82300000003,10272.4,9.823647673338174,4.148434190652806,42.939960697729525,4.33269109554904,20994.58225949282,0.0030895558086808717,0.006314389390078699,0.003224833581397827
37,San Francisco,877949.25,6075,7.533333333333334,66138.8435,2983.4,9.520336158334665,3.489807171138796,28.856940577650004,3.434808868125433,5848.197405635268,0.0033981463051537433,0.006661202120322181,0.0032630558151684375
38,San Joaquin,747686.0,6077,9.766666666666666,73023.99933333333,4569.0,12.117603006788798,4.694662355723995,39.77731723589853,4.141654343743323,6910.61022104392,0.006110854021608002,0.009242663659669862,0.0031318096380618604
39,San Luis Obispo,282687.25,6079,5.666666666666667,16018.944166666668,826.6,7.138379581768604,2.812704179014682,37.24982371498161,4.054098256237082,1201.731105029031,0.0029240795260486634,0.0042510976530743105,0.001327018127025647
40,San Mateo,768015.25,6081,10.633333333333333,81665.62158333334,2292.2,8.963961159777538,3.440541550070962,30.299276769477324,3.657033050162636,6970.411170280677,0.0029845761526219694,0.009075875993713246,0.006091299841091276
41,Santa Barbara,445479.25,6083,5.25,23387.660625,1457.4,7.62595720502816,2.942215936218169,37.239073219634776,3.934889976047975,1797.8453800146524,0.00327153284917311,0.00403575560481134,0.0007642227556382301
42,Santa Clara,1930266.75,6085,7.666666666666667,147987.11750000002,5534.0,9.071321040573308,3.345192855734534,35.76781260731503,3.885585184463497,12322.538330985088,0.0028669612632554542,0.0063838525587124615,0.0035168912954570072
43,Santa Cruz,274076.5,6087,9.0,24666.885,813.6,7.316071183262462,2.715725364497204,33.95234824986219,3.894079902945114,1901.415566575363,0.002968514265177788,0.006937535930936666,0.003969021665758878
44,Shasta,179436.0,6089,9.533333333333331,17106.232,740.6,8.629183017370064,4.061901977088705,38.9148696544081,4.151092652779663,1369.548571954108,0.004127376892039502,0.007632518401848614,0.0035051415098091123
45,Sierra,2988.75,6091,9.466666666666669,282.935,9.0,7.299511784345922,3.153150213464696,45.860944608648055,5.254391351943076,20.39730227728077,0.00301129234629862,0.006824693359190554,0.0038134010128919337
46,Siskiyou,43521.75,6093,9.466666666666669,4120.059,149.8,8.069497801216269,3.831915513112885,37.528693416951725,4.973296997339415,323.2711385696976,0.003441957182328376,0.0074278065236277864,0.00398584934129941
47,Solano,443934.25,6095,13.533333333333331,60079.101833333334,3392.0,9.99055861774551,3.902519403017144,35.394891065612704,3.787029134437056,5245.755807199771,0.007640771127706412,0.011816515187102078,0.004175744059395667
48,Sonoma,499498.75,6097,10.7,53446.36625000001,1763.0,8.1586715090522,3.310124583577666,32.47836948877654,3.937758532101368,4331.284686477013,0.003529538362208114,0.008671262313423233,0.005141723951215119
49,Stanislaus,545689.5,6099,10.8,58934.46599999999,2983.4,12.653698706862713,4.840085062021242,42.909083558763164,4.300251599318103,5628.757146115373,0.005467211665241864,0.01031494493867918,0.004847733273437317
50,Sutter,96316.25,6101,11.033333333333331,10626.892916666668,305.4,10.71829183152188,4.2107146813668,39.90200633878072,4.118296410978184,938.308963539546,0.003170804511180616,0.009741959051972497,0.006571154540791881
51,Tehama,64100.5,6103,10.2,6538.251,314.0,9.015758251474404,3.753104458645907,40.383463958480775,4.389962269403161,529.3001229896042,0.00489855773355902,0.008257347805237155,0.0033587900716781343
52,Trinity,12601.5,6105,9.466666666666669,1192.942,56.4,6.894584442923937,3.502783164556962,36.46970046755616,4.932313000342114,88.7939632459615,0.004475657659802405,0.007046301094787248,0.0025706434349848433
53,Tulare,463081.75,6107,11.2,51865.15600000001,2050.4,15.517773282956163,6.68321301465158,49.04573259745741,4.678210071477554,5507.308109416502,0.004427727933566806,0.011892734078629749,0.007465006145062943
54,Tuolumne,54152.75,6109,9.933333333333334,5379.1731666666665,226.2,9.671643273313032,4.272706525442429,46.10800564014299,4.812979045853745,435.8963222326808,0.004177073186495607,0.008049384790849603,0.0038723116043539955
55,Ventura,847628.75,6111,6.766666666666667,57356.21208333333,2654.0,8.584241138653336,3.272457402518826,43.2037422845051,4.333011363572898,4474.456790089407,0.0031310877551050504,0.005278793092010396,0.002147705336905346
56,Yolo,218680.5,6113,11.133333333333333,24346.429,814.0,10.436496028575393,4.270373991223092,38.47404789593816,3.96000050820313,2136.6889901348204,0.0037223254931281024,0.00977082542858106,0.006048499935452957
57,Yuba,76938.75,6115,13.333333333333334,10258.5,334.0,10.585130770213077,4.159472789331582,41.31142746278459,4.29196707895505,892.942867647399,0.00434111549771734,0.011605892578803257,0.007264777081085917
